#nid,label,prop1,prop2,prop3,start,end
1,person,,low,neg,1,2
1,person,,low,neg,4,5
1,person,,low,neg,6,7
1,person,,low,neg,9,10
1,person,,low,neg,11,14
1,person,,low,neg,15,17
1,person,,low,neg,18,19
1,person,,low,neg,20,22
1,person,,low,neg,24,25
1,person,,low,neg,26,28
1,person,,low,neg,30,33
1,person,,low,neg,34,36
1,person,,low,neg,37,38
1,person,,low,neg,40,42
1,person,,low,neg,43,44
1,person,,low,neg,45,47
2,person,,high,neg,1,3
2,person,,high,neg,4,5
2,person,,high,neg,7,10
2,person,,high,neg,11,13
2,person,,high,neg,15,18
2,person,,high,neg,19,20
2,person,,high,neg,21,23
2,person,,high,neg,24,26
2,person,,high,neg,27,30
2,person,,high,neg,32,35
2,person,,high,neg,37,38
2,person,,high,neg,39,42
2,person,,high,neg,43,45
2,person,,high,neg,46,47
3,person,,low,neg,2,5
3,person,,low,neg,6,7
3,person,,low,neg,8,11
3,person,,low,neg,12,14
3,person,,low,neg,15,17
3,person,,low,neg,18,20
3,person,,low,neg,21,22
3,person,,low,neg,24,26
3,person,,low,neg,27,28
3,person,,low,neg,29,31
3,person,,low,neg,32,35
3,person,,low,neg,36,38
3,person,,low,neg,40,42
3,person,,low,neg,43,44
3,person,,low,neg,45,47
3,person,,low,neg,48,50
4,person,,low,neg,1,2
4,person,,low,neg,5,7
4,person,,low,neg,8,10
4,person,,low,neg,11,12
4,person,,low,neg,13,15
4,person,,low,neg,17,18
4,person,,low,neg,19,20
4,person,,low,neg,23,25
4,person,,low,neg,28,30
4,person,,low,neg,31,33
4,person,,low,neg,34,36
4,person,,low,neg,37,39
4,person,,low,neg,40,42
4,person,,low,neg,44,46
4,person,,low,neg,47,48
4,person,,low,neg,49,50
5,person,,low,neg,2,3
5,person,,low,neg,4,5
5,person,,low,neg,7,10
5,person,,low,neg,11,12
5,person,,low,neg,13,15
5,person,,low,neg,17,19
5,person,,low,neg,23,25
5,person,,low,neg,26,28
5,person,,low,neg,31,33
5,person,,low,neg,34,35
5,person,,low,neg,36,37
5,person,,low,pos,39,41
5,person,,low,neg,43,45
5,person,,low,neg,47,48
6,person,,low,neg,7,10
6,person,,low,neg,12,13
6,person,,low,neg,14,17
6,person,,low,neg,18,20
6,person,,low,neg,21,22
6,person,,low,neg,23,25
6,person,,low,neg,28,29
6,person,,low,neg,30,32
6,person,,low,neg,33,34
6,person,,low,neg,37,38
6,person,,low,neg,39,43
6,person,,low,neg,45,46
6,person,,low,neg,47,48
7,person,,high,neg,1,3
7,person,,high,neg,4,7
7,person,,high,neg,8,9
7,person,,high,neg,10,11
7,person,,high,neg,15,17
7,person,,high,neg,19,21
7,person,,high,neg,22,23
7,person,,high,neg,24,27
7,person,,high,neg,28,30
7,person,,high,pos,31,34
7,person,,high,neg,35,36
7,person,,high,neg,39,41
7,person,,high,neg,42,43
7,person,,high,neg,44,47
7,person,,high,neg,48,50
8,person,,low,neg,1,4
8,person,,low,neg,6,9
8,person,,low,neg,11,12
8,person,,low,neg,13,14
8,person,,low,neg,16,17
8,person,,low,neg,18,19
8,person,,low,neg,20,22
8,person,,low,neg,23,25
8,person,,low,neg,26,27
8,person,,low,neg,29,32
8,person,,low,neg,33,35
8,person,,low,neg,36,39
8,person,,low,neg,42,43
8,person,,low,neg,44,46
8,person,,low,pos,48,50
9,person,,low,neg,1,2
9,person,,low,neg,3,5
9,person,,low,neg,6,9
9,person,,low,neg,10,13
9,person,,low,neg,15,17
9,person,,low,neg,18,21
9,person,,low,neg,22,23
9,person,,low,neg,24,25
9,person,,low,neg,26,27
9,person,,low,neg,30,31
9,person,,low,neg,32,33
9,person,,low,neg,34,36
9,person,,low,neg,37,39
9,person,,low,pos,40,42
9,person,,low,neg,43,45
9,person,,low,neg,46,49
10,person,,low,neg,1,3
10,person,,low,neg,5,6
10,person,,low,neg,7,8
10,person,,low,neg,9,10
10,person,,low,neg,12,14
10,person,,low,neg,15,18
10,person,,low,neg,19,20
10,person,,low,neg,22,25
10,person,,low,neg,26,29
10,person,,low,neg,30,32
10,person,,low,neg,33,36
10,person,,low,neg,37,38
10,person,,low,neg,40,43
10,person,,low,neg,44,45
10,person,,low,neg,46,49
11,person,,low,neg,1,4
11,person,,low,neg,5,6
11,person,,low,neg,7,8
11,person,,low,neg,9,11
11,person,,low,neg,12,15
11,person,,low,neg,16,19
11,person,,low,neg,20,22
11,person,,low,neg,23,25
11,person,,low,neg,26,27
11,person,,low,neg,28,30
11,person,,low,neg,32,34
11,person,,low,neg,35,36
11,person,,low,neg,37,38
11,person,,low,neg,39,40
11,person,,low,neg,43,46
11,person,,low,neg,47,50
12,person,,high,neg,6,7
12,person,,high,neg,11,13
12,person,,high,neg,14,17
12,person,,high,neg,21,22
12,person,,high,neg,23,25
12,person,,high,neg,26,28
12,person,,high,neg,30,31
12,person,,high,neg,32,33
12,person,,high,neg,34,37
12,person,,high,neg,38,39
12,person,,high,neg,40,42
12,person,,high,neg,43,45
12,person,,high,neg,46,47
13,person,,low,neg,1,3
13,person,,low,neg,5,7
13,person,,low,neg,8,10
13,person,,low,neg,12,13
13,person,,low,neg,14,16
13,person,,low,neg,17,18
13,person,,low,neg,19,21
13,person,,low,neg,22,23
13,person,,low,neg,25,26
13,person,,low,neg,29,31
13,person,,low,neg,33,36
13,person,,low,neg,37,39
13,person,,low,neg,40,41
13,person,,low,neg,42,43
13,person,,low,neg,44,45
13,person,,low,pos,46,47
14,person,,high,neg,1,2
14,person,,high,neg,5,8
14,person,,high,pos,9,12
14,person,,high,neg,14,16
14,person,,high,neg,19,21
14,person,,high,pos,22,24
